tay,vietnamese
hò nẩy nàn vi khay tha chin cúa cần.,thằng này nhẫn tâm ăn của người ta trắng trợn.
hò nẩy phuối ói sloi lai,thằng này nói bậy bạ lắm
hò nẩy pác pôm,thằng này nói năng thô lỗ
"hò nẩy te chăm chỉ, hắt hết slí.","thằng này nó chăm chỉ, biết làm ăn."
hò nẩy tăn đéc lai,thằng này dốt nát lắm
hò tỉ pền báo dá,thằng kia sắp thành thanh niên rồi
hò pjạ dú tềnh hai,thằng cuội trên cung trăng
hé,chái
hò slút,thằng ngốc
hò slấc men ẹn tón nâng,thằng giặc bị nện cho một trận
hò tỉ chổm me hâu,thằng kia hiếp dâm vợ người ta
hò tỉ dú mên,thằng kia hách dịch
hò tỉ khua nhẳm nhác,thằng ấy cười nhớn nhác
hò tỉ khắt khi bấu hẩư cần mòn lăng,thằng kia keo kiệt không cho ai cái gì
"hò tỉ ngheng lai, cạ bấu tinh",bảo không nghe
hò phi pjài hẩư hua bau,thằng ranh con nào nghịch ngợm
hò nẩy màn khoang,thằng này bướng bỉnh
"hò tỉ ngheng lai, cạ bấu tinh",thằng kia bướng bỉnh lắm
hò đếch lum loem,thằng bé sờ sẫm con quay
héc,chảo
hòi,đáp lại
hòi cằm,nhắn tin
hòi cằm,phúc đáp
hòi cằm,trả lời
hòm,cái hòm
hòm séc nảy mì lăng chang tỉ?,hòm sách này có gì trong đó?
hòi,hồi
hòm to kim,hòm đựng vàng
hói,gõ
hói cái teng oóc,gõ cái nêm ra
hói moong,gõ mõ
hói mạ la,đánh cồng
hóm,khỏi
hóm,liền da
hóm,lành
hón,quả bồ hòn
hòm to slửa khóa,hòm đựng quần áo
hé rườn,chái nhà
hè hè,cười hì hì
hàn rạt,hơi rát
háng mì lai cúa đây lai.,chợ có nhiều thứ đẹp lắm.
hào,hào
há pả,dọa nạt
hác,một mình
hác,người khách
hác,riêng
hác,sao
hác,tự
hác dú,ở một mình
hác dú,ở riêng
háo lồm,ngáp
hán,con ngỗng
hán,lan
hán fạ,ngỗng trời
hán fạ,thiên nga
hán slép,ngỗng kẹp
háng,chợ
háng,thưa
háng huyện hâu kỉ vằn mì pan?,chợ huyện mình mấy ngày có một phiên?
háng huyện kỉ vằn mì pan?,chợ huyện mấy ngày có một phiên?
háng quẹng,chợ vắng người
háp nắc đúc rọn,gánh nặng sụn xương
"háp khẩu nẩy nắc lai, lan choi bảc au khửn bá ỷ nè. bác đảy pjom lai á. hăn cạ bảc thành men hua tót, đây dá lỏ? bảc nào đây dá.","bao lúa này nặng quá, cháu giúp bác vác lên bờ với. bác cảm ơn nhiều nhé. nghe nói bác thành bị đau đầu, khỏi rồi chứ? bác chưa khỏe đâu."
háp,gánh
háp dó,gánh nhẹ
háp dó,non một gánh
háp kha còn,gánh hai bên không cân nhau
háp khẩu dú tềnh bá,gánh thóc trên vai
háp khẩu nẩy mì slam nạo,gánh thóc này có ba yến
"háp khẩu nẩy nắc lai, lan choi bảc au khửn bá ỷ nè.",bao lúa này nặng quá
háng xạ,hàng xã
"háp khẩu nẩy nắc lai, lan choi bảc au khửn bá ỷ nè.",cháu giúp bác vác lên bờ với.
"háp khẩu nắc quả, tạn bấu háp tứn",gánh thóc nặng quá không gánh nổi
háp khẩu nẻo nét tềnh bá,gánh thóc kĩu kịt trên vai
háp khẩu nẻo nét tềnh bá.,gánh thóc kĩu kịt trên vai.
háp khẩu pạng nắc pạng nẩư bấu châng căn,gánh thóc bên nặng bên nhẹ không cân nhau
"háp mà thâng rườn, cần xo tói phấn",gánh về đến nhà mọi người xin gần nửa
háp nẩư,gánh nhẹ
háp nắc,gánh nặng
háp nắc đúc,gánh nặng sụn xương
hòi,trở lại
hòi,trả lại
"hò nẩy mjạt mjạt, po me roọng bấu tỉnh.","thằng này lười thườn thượt, bố mẹ gọi không nghe."
ho,kẻm đáng
hiu,cáy cạc
hiu,xem cáy cạc
hiết lèng,nấu cơm sáng
hjất công,đi làm
hjết ngai,nấu cơm trưa
hoan hô hồ chí minh vĩ đại.,hoan hô người vĩ đại.
hjết phjầu,nấu cơm tối
ho,con khướu bạc má
ho kẻm,con khướu bạc má
hò nẩy loóc choóc,thằng này tinh ranh lắm
hoa bắp đang nở rộ.,hoa ngô đang nở rộ.
"hoam vận đính nộc phiây, hom vận huầy cáy thươn",ngon như bộ phận sinh dục gà rừng
"hoam vận đính nộc phiây, hom vận huầy cáy thươn",thơm như phao câu chim ri
hoan hô hồ chí minh vĩ đại.,hoan hô bác hồ vĩ đại.
hoan hô hồ chí minh vĩ đại.,hoan hô cụ hồ vĩ đại.
hjết rườn,làm nhà
hang,đuôi
hàn,xót
hin pjẻo,báo
hin pjói tàng,đá rải đường
hin phja náp xáy cáy,đá núi đè trứng gà
hoan hô hồ chí minh vĩ đại.,hoan hô hồ chí minh vĩ đại.
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người lo cho nhân dân."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người lo cho đồng bào."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người lo toan cho nhân dân."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người trăn trở cho nhân dân."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô cụ hồ vĩ đại. tối ngày, người lo cho nhân dân."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô người vĩ đại. tối ngày, người lo cho nhân dân."
hoi ngửa,ốc sên
hoi pít,ốc bươu
hom,thơm
hom,xúm lại
hom căn dú,xúm lại ở với nhau
hom hem,gần được
hom hem,thơm tho
hom hủ,rau húng
hoi ngưa,ốc sên
hin náp,đá đè
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô bác hồ vĩ đại. tối ngày, người lo cho nhân dân."
hàng cúa pí vằn nẩy khai đảy lai bấu?,hàng của chị hôm nay bán được nhiều không?
"hí slẩy khát. slim slẩy ma nuầy. ăn môc gặn ăn choong dẳng hất đẩy đồng chang bản. mạng người bằng nghìn vàng, đem bạc tiền về cõi âm chuộc mạng.","lo đứt ruột. lòng dạ lang sói. lòng rộng bằng cái chuông mới làm thông gia trong bản. mạng người bằng nghìn vàng, đem bạc tiền về cõi âm chuộc mạng."
hò an pây liêu liêu loa loa quá vằn.,thằng an đi dong chơi suốt ngày
héc phjắc,chảo xào rau
hém,bã rượu
hém,me
hém,mẻ
hém hang pja,mẻ nấu canh cá
hém nựa,mẻ ngâm thịt
hò nẩy chốc chác lai,thằng này thiếu lễ độ
hém pja,mẻ ngâm cá
hén,hèn mạt
héo bặng cốp coong,gầy như con ễnh ương
hép tan khẩu mẩu,cái hái ngắt từng bông lúa để làm cốm
hét liệng pja khỏ bấu khỏ?,nuôi cá khó không?
hên moòng chin mác muổi,cầy hương ăn quả gắm
hên màn,con cáo dạn
hí,lo lắng
hí bấu đo chin,sợ không đủ ăn
hén,hèn
hò nẩy cò kheng,thằng này bướng bỉnh
héc vài,chảo to
héc,cái chảo
hò an pây liêu liêu loa loa quá vằn. chài nắt bâư slửa nẩy. noọng ái pây háng đuổi mé. tinh then mi lai á. te bấu hứn slon náu.,thằng an đi dong chơi suốt ngày. anh thích chiếc áo này. em muốn đi chợ cùng mẹ. nghe hát then thích lắm. nó không thích học đâu.
hí mất ti năng,sợ mất địa vị
hò cần nguông,thằng ngốc
hò hâư hết vuồng táy,thằng nào làm đầu têu
hò hẩu quẩy tằng bản hộn,thằng nào quấy rối cả bản
hò khoăn,thằng quái gở
"hò khươi mầu hết cộng sản, mầu chắc bấu?","thằng rể nhà mày làm cộng sản, mày biết chưa?"
hò lặc bị bắt hăn pjòi,sướng quá
hò lặc bị bắt hăn pjòi,thấy ăn cắp bị bắt
"hò lục cóc náo đầy slíp lam. pày ngồi vài, tiệ eng, hết khởi.","thằng con cả mới được mười ba. đi chăn trâu, cõng trẻ làm thuê."
hò nẩy au tua tỉ bấu kha nau,thằng này lấy con kia không xứng đôi đâu
hò nẩy bau,thằng này nghịch ngợm
hò nẩy bấu chắc lăng slắc tàng,thằng này không biết thứ gì
hò nẩy chin lắp slắp,thằng này ăn lặt vặt
hò nẩy chạn mjạt mjạt,thằng này lười thườn thượt
"hò nẩy chạn mjạt mjạt, bấu ái hết fiệc.","thằng này lười thườn thượt, không muốn làm việc."
"hí slẩy khát. slim slẩy ma nuầy. ăn môc gặn ăn choong dẳng hất đẩy đồng chang bản. mạng người bằng nghìn vàng, au ngần dièn mừa lăng duốc mình.","lo đứt ruột. lòng dạ lang sói. lòng rộng bằng cái chuông mới làm thông gia trong bản. mạng người bằng nghìn vàng, đem bạc tiền về cõi âm chuộc mạng."
hí nà lẹng,lo ruộng bị hạn
hí ngọi ngọi,lo ngay ngáy
hán,chằng chịt
"háp nắc, tàng rì lai cần men pướt pát",gánh nặng đường dài nhiều người mỏi nhừ
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người lo cho dân chúng."
fạ phiét lục đếch mào,có tiếng sét
fù,phù
fạ đăng nằn nờ,trời sấm vang rền
fạ đăm lắp lí,trời tối mù mịt
"fạ lồm nẻo nẻo, mạy té.","gió thổi rung rinh, cây đổ."
"fạ mjẹp lai, bấu đảy pây hết nà.","trời chớp nhiều, không được đi làm ruộng."
fạ mà,trời chuyển mùa sang hạ
fạ ngoằm,bầu trời
fạ ngoằm,thiên hạ
fạ phiét lục đếch mào,trẻ kinh hãi
fạ đét lẳm,trời nắng quá
fạ phjét,sét đánh
fạ đăm pện nảy chắc phuôn to pây.,trời tối thế này chắc mưa to đây.
fạ phôn nặm ta noòng,nước lũ
fạ phôn tằng rườn năng ngao ngản,trời mưa cả nhà ngồi chán chường
fạ phôn tọ pú slùm,trời mưa nhưng ông lặn lội về thăm cháu
fạ phôn đăm khoái,mưa trời chóng tối
fạ roọng,sấm
fạ roọng từn từn,sấm nổ ầm ầm
fạng tua ngù bát mạy,phang con rắn một gậy
"fả fạ kẻo mừa hác, khẩu phjác chàn",đổ thóc ra phơi
"fả fạ kẻo mừa hác, khẩu phjác chàn",mây bay về phía người khách
fạt nà,đập lúa
fạ lồm mạy tắc khoáy,gió to cây đổ ngổn ngang
fạ lồm nghé lán chại,gió thổi làm cái lán xiêu vẹo
fạc,giát
fạc,ven
fạc,vạt
fạc fạc,phành phạch
fạc fạc bả,giãy đành đạch
fạc mạy muồi,giát nhà sàn bằng cây mai
fạc rườn cộng khửn,giát nhà lồi lên
fạc ta,ven sông
fạc,dãy
fạng,phang
fạt,làm
fạt,quát
fạt,đập
fạt bát roi nâng,quất cho một roi
fạt giang,làm hương
fạ đét liền xiền kỉ vằn,trời nắng liên miên mấy ngày
fạ đét ún,trời nắng ấm
háp tứn,gánh nổi
fan hua hang,tráo đầu đuôi
foỏng còn,cột để tung còn
fà,cái chăn
fiệc nhằng rang thâng ca này,việc còn dây dưa đến tận bây giờ
"fiệc lăng ái hết khoái, boong lầu rèo cảng tuyện đuổi pú khải.",chúng ta phải bàn chuyện với ông khải.
fan,quay lại
fan,vạn
fan cần,vạn người
fan hua,quay đầu
fan sleng,hồi sinh
fạ phôn nặm ta noòng,trời mưa
fan sleng,tái sinh
fan tao,trái lại
"fiệc lăng ái hết khoái, boong lầu rèo cảng tuyện đuổi pú khải.",việc gì muốn làm được nhanh
fan tao nhằng nắc,bệnh càng nặng thêm
fe,giống
fiệc,việc
fiệc bản con,việc làng xóm
"fiệc cúa bản, mọi cần rèo tày cha bàn.","việc của làng, mọi người phải cùng nhau bàn bạc."
fuông,phương
fuông,phong cảnh
fung,một gói
fung,lạp xường
fù,nổi
fù,bủng
fù,bệu
"fiệc nẩy khỏ, phải chập pú khải cón.","việc này khó, phải gặp ông khải trước."
fiệc nắc,việc khó
fiệc nắc na,việc nặng nhọc
fiệc quan ham táp,việc quan như khiêng mo nang
fiệc tỉ bấu nem thâng lầu,việc ấy không dính líu gì đến ta
foong slư,bức thư văn vần tỏ tình giao duyên
foong slư,làn điệu dân ca của người tày
foòng cái,võng
fiệc nẩy dá đảy tươn,việc này đừng có hòng làm
foòng sóng,nước nổi sóng
foỏng teo,vòng trở lại
foỏng vòng,vòng trở lại
fung,bệnh mắt đục thủy tinh thể
fung,bệnh tê thấp
fạ lồm cáng mạy fèn nẻo nẻo.,gió thổi cành cây rung rinh.
făn fi,tức khắc
fường,quả khế
háy lồng hua,gõ vào đầu
hâu,tớ
háp ẻo ét,gánh kĩu kịt
hát,ghềnh
hát,hét
hát,quát tháo
háu,sủa
háu váp,sủa càn
háy,gõ
hâu che dền đăng pắp,người ta chê liền nhụt chí
fường,cây khế
hâng,lâu
hâng hâng,thỉnh thoảng
hâng hâng chẳng mì cần dự,thỉnh thoảng mới có người mua
"hâng lai dá ngám chập, mầư mì cần điếp xằng?","lâu rồi không gặp, có người yêu chưa mày?"
hâu,con chấy
hâu,họ
hâu,mình
hâu,người ta
hâu chùa pây hết puôn lầu bấu nga,người ta rủ đi buôn mình không màng
háp nặm tó bó,gánh nước về nguồn
"hâu slam, lầu đút bấu chắc cảng lăng",người ta hỏi
hâư,đâu
"hâu cạ thông mác khấy, lầu cạ tây kim ngần",người ta bảo túi mướp đắng mình cho rằng đẫy bạc vàng
hâu hết lặc lầu bấu cáp,người ta ăn cắp mình không tham gia
hâu khốp hua,chấy cắn đầu
"hâu nhằng phuối tuyện, te quai choóc pây au cón",người ta còn bàn chuyện
"hâu nhằng phuối tuyện, te quai choóc pây au cón",nó đã khôn lỏi đi lấy trước
hâu pây cón dá,người ta đi trước rồi
hâu pây rồm rồm dá tao lầu vận năng em ứt,người ta đi rầm rầm rồi mà mình vẫn bình chân như vại
hâu pựn góp ý chướng môi trường.,mọi người góp ý bảo vệ môi trường.
hâu cạ le đấn dú bấu chắc lăng,người ta bảo thì ngây ra không biết gì
"hâu slam, lầu đút bấu chắc cảng lăng",mình tắc họng không biết nói gì nữa
hâu đá hẩư nhẻn nhéc,người ta chửi cho
hâu đá hẩư nhẻn nhéc,xấu mặt
hây,ta
hây chứ cằm bác hồ slắng sle,ta nhớ di chúc của bác hồ
"hây liệng mò eng lai, sle khai.","mình nuôi bê nhiều, để bán."
hây pây liểu dú khau rườn.,mình đi chơi ở núi sau nhà.
hâư,nào
hâu,ta
hâng bấu hăn căn pền lạ lác,lâu không gặp thành người xa lạ
hang,út
fạ bươn lạp háp bấu tứn,sấm chớp tháng chạp thì được mùa
fường,vành máng
fù,trôi
fù noòng,bánh trôi
fù poóng péng,nổi lều bều
făn,chấp nhận
făn,chịu
făn,li
făn,phân
făn,phần
fạ lồm cáng mạy fèn nẻo nẻo,gió thổi cành cây rung rinh
făn fi,ngay lập tức
făn făn,lăm le
făn kim,một li vàng
făn vít pây,lăm lăm vứt đi
fươi,liệt
fương,phương
fường,bạnh cây
fạ,trời
fạ bươn lạp háp bấu tứn,trời có mưa
hang,xào
fạ lồm cáng mạy fèn,gió thổi rung cành cây
hang,sau
fạ cón,sấm
fạ fựn,sấm chớp
fạ fựn,trời rung đất chuyển
fạ kheo lỉu,trời xanh ngắt
fạ khăm,trời râm
fạ khăm kheo,trở trời
fạ khăm kheo,u ám
fạ khăm kheo ái phôn,trở trời sắp mưa
"fạ khăm kheo, đúc đang ngựt ngư",thời tiết thay đổi
"fạ khăm kheo, đúc đang ngựt ngư",trong người ốm lửng
"fạ kết pja lẻ phân, fạ kết hên lẻ đét",có mây vẩy beo thì nắng
"fạ kết pja lẻ phân, fạ kết hên lẻ đét",trời có mây vẩy cá thì mưa
"fạ kết pja lẻ phân, phải au lả khảu rườn.","trời vảy cá thì mưa, phải mang thóc vào nhà."
fạ lung phú phí,trời tang tảng sáng
fạ lẹng,trời hạn hán
fạ lẹng nà féc roạc,hạn hán ruộng nứt rộng toác
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người lo cho người dân."
"hoan hô hồ chí minh vĩ đại. cườn văn, cần lo tải nhân dân.","hoan hô hồ chí minh vĩ đại. tối ngày, người gánh vác cho nhân dân."
"fiệc hết bấu đảy, hăn đang nưới",mỏi mệt
